Rok,Miesiąc,Rodzaj świadczenia,Rozopznanie (Kod ICD-10),Liczba świadczeń,Kategoria
2021,grudzień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),<5,Rowerzyści
2021,grudzień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2021,grudzień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),5,Rowerzyści
2021,grudzień,Ratownictwo medyczne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),18,Rowerzyści
2021,grudzień,Ratownictwo medyczne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),40,Rowerzyści
2021,grudzień,pozostałe,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2021,grudzień,pozostałe,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",<5,Rowerzyści
2021,grudzień,pozostałe,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),<5,Rowerzyści
2021,grudzień,pozostałe,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),<5,Rowerzyści
2022,styczeń,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),7,Rowerzyści
2022,styczeń,Podstawowa opieka zdrowotna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",14,Rowerzyści
2022,styczeń,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),<5,Rowerzyści
2022,styczeń,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),<5,Rowerzyści
2022,styczeń,Podstawowa opieka zdrowotna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),22,Rowerzyści
2022,styczeń,Podstawowa opieka zdrowotna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),27,Rowerzyści
2022,styczeń,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),<5,Rowerzyści
2022,styczeń,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2022,styczeń,Ambulatoryjna opieka specjalistyczna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",14,Rowerzyści
2022,styczeń,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,styczeń,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),6,Rowerzyści
2022,styczeń,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),14,Rowerzyści
2022,styczeń,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),23,Rowerzyści
2022,styczeń,Leczenie szpitalne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),<5,Rowerzyści
2022,styczeń,Leczenie szpitalne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2022,styczeń,Leczenie szpitalne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",8,Rowerzyści
2022,styczeń,Leczenie szpitalne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),5,Rowerzyści
2022,styczeń,Leczenie szpitalne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),13,Rowerzyści
2022,styczeń,Leczenie szpitalne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),21,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),141,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),18,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),7,Rowerzyści
2022,styczeń,Ratownictwo medyczne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",62,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),5,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),6,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),20,Rowerzyści
2022,styczeń,Ratownictwo medyczne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),33,Rowerzyści
2022,styczeń,pozostałe,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2022,styczeń,pozostałe,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,styczeń,pozostałe,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",<5,Rowerzyści
2022,styczeń,pozostałe,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),<5,Rowerzyści
2022,styczeń,pozostałe,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),20,Rowerzyści
2022,styczeń,pozostałe,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),49,Rowerzyści
2022,luty,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),7,Rowerzyści
2022,luty,Podstawowa opieka zdrowotna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",14,Rowerzyści
2022,luty,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,luty,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),<5,Rowerzyści
2022,luty,Podstawowa opieka zdrowotna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),7,Rowerzyści
2022,luty,Podstawowa opieka zdrowotna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),23,Rowerzyści
2022,luty,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),<5,Rowerzyści
2022,luty,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,luty,Ambulatoryjna opieka specjalistyczna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",6,Rowerzyści
2022,luty,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),5,Rowerzyści
2022,luty,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),5,Rowerzyści
2022,luty,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),18,Rowerzyści
2022,luty,Leczenie szpitalne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",5,Rowerzyści
2022,luty,Leczenie szpitalne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),<5,Rowerzyści
2022,luty,Leczenie szpitalne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),20,Rowerzyści
2022,luty,Leczenie szpitalne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),16,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),109,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),21,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),9,Rowerzyści
2022,luty,Ratownictwo medyczne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",62,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),<5,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),8,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),14,Rowerzyści
2022,luty,Ratownictwo medyczne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),32,Rowerzyści
2022,luty,pozostałe,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),11,Rowerzyści
2022,luty,pozostałe,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",53,Rowerzyści
2022,luty,pozostałe,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),<5,Rowerzyści
2022,luty,pozostałe,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),<5,Rowerzyści
2022,luty,pozostałe,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),23,Rowerzyści
2022,marzec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),<5,Rowerzyści
2022,marzec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2022,marzec,Podstawowa opieka zdrowotna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",26,Rowerzyści
2022,marzec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,marzec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),<5,Rowerzyści
2022,marzec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),11,Rowerzyści
2022,marzec,Podstawowa opieka zdrowotna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),19,Rowerzyści
2022,marzec,Podstawowa opieka zdrowotna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),43,Rowerzyści
2022,marzec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),<5,Rowerzyści
2022,marzec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2022,marzec,Ambulatoryjna opieka specjalistyczna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",13,Rowerzyści
2022,marzec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,marzec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),8,Rowerzyści
2022,marzec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),12,Rowerzyści
2022,marzec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),25,Rowerzyści
2022,marzec,Leczenie szpitalne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),<5,Rowerzyści
2022,marzec,Leczenie szpitalne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),7,Rowerzyści
2022,marzec,Leczenie szpitalne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",16,Rowerzyści
2022,marzec,Leczenie szpitalne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),17,Rowerzyści
2022,marzec,Leczenie szpitalne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),32,Rowerzyści
2022,marzec,Leczenie szpitalne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),41,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),168,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),26,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),13,Rowerzyści
2022,marzec,Ratownictwo medyczne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",128,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),7,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),<5,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),16,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),25,Rowerzyści
2022,marzec,Ratownictwo medyczne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),66,Rowerzyści
2022,marzec,pozostałe,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2022,marzec,pozostałe,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,marzec,pozostałe,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",23,Rowerzyści
2022,marzec,pozostałe,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),<5,Rowerzyści
2022,marzec,pozostałe,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),<5,Rowerzyści
2022,kwiecień,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2022,kwiecień,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,kwiecień,Podstawowa opieka zdrowotna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",31,Rowerzyści
2022,kwiecień,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,kwiecień,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),7,Rowerzyści
2022,kwiecień,Podstawowa opieka zdrowotna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),25,Rowerzyści
2022,kwiecień,Podstawowa opieka zdrowotna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),27,Rowerzyści
2022,kwiecień,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),<5,Rowerzyści
2022,kwiecień,Ambulatoryjna opieka specjalistyczna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",19,Rowerzyści
2022,kwiecień,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),10,Rowerzyści
2022,kwiecień,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),19,Rowerzyści
2022,kwiecień,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),39,Rowerzyści
2022,kwiecień,Leczenie szpitalne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),6,Rowerzyści
2022,kwiecień,Leczenie szpitalne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),<5,Rowerzyści
2022,kwiecień,Leczenie szpitalne,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,kwiecień,Leczenie szpitalne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",20,Rowerzyści
2022,kwiecień,Leczenie szpitalne,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,kwiecień,Leczenie szpitalne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),23,Rowerzyści
2022,kwiecień,Leczenie szpitalne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),38,Rowerzyści
2022,kwiecień,Leczenie szpitalne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),40,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),197,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),45,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),16,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",136,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),12,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),<5,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),19,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),43,Rowerzyści
2022,kwiecień,Ratownictwo medyczne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),68,Rowerzyści
2022,kwiecień,pozostałe,Rowerzysta ranny w kolizji z innym rowerzystą (V11),8,Rowerzyści
2022,kwiecień,pozostałe,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",43,Rowerzyści
2022,kwiecień,pozostałe,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),<5,Rowerzyści
2022,kwiecień,pozostałe,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),<5,Rowerzyści
2022,kwiecień,pozostałe,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),70,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),5,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z innym rowerzystą (V11),11,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",69,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),18,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),100,Rowerzyści
2022,maj,Podstawowa opieka zdrowotna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),104,Rowerzyści
2022,maj,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),7,Rowerzyści
2022,maj,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z innym rowerzystą (V11),5,Rowerzyści
2022,maj,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,maj,Ambulatoryjna opieka specjalistyczna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",22,Rowerzyści
2022,maj,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,maj,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),16,Rowerzyści
2022,maj,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),39,Rowerzyści
2022,maj,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),54,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),14,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),14,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,maj,Leczenie szpitalne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",41,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),<5,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),74,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),113,Rowerzyści
2022,maj,Leczenie szpitalne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),129,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),304,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym rowerzystą (V11),94,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),23,Rowerzyści
2022,maj,Ratownictwo medyczne,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",281,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),9,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w kolizji z pociągiem lub pojazdem szynowym (V15),7,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),6,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),55,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),117,Rowerzyści
2022,maj,Ratownictwo medyczne,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),161,Rowerzyści
2022,maj,Pomoc doraźna i transport sanitarny od 2009,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",<5,Rowerzyści
2022,maj,pozostałe,Rowerzysta ranny w kolizji z innym rowerzystą (V11),12,Rowerzyści
2022,maj,pozostałe,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",70,Rowerzyści
2022,maj,pozostałe,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),<5,Rowerzyści
2022,maj,pozostałe,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),22,Rowerzyści
2022,czerwiec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),14,Rowerzyści
2022,czerwiec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z innym rowerzystą (V11),18,Rowerzyści
2022,czerwiec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,czerwiec,Podstawowa opieka zdrowotna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",61,Rowerzyści
2022,czerwiec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,czerwiec,Podstawowa opieka zdrowotna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),26,Rowerzyści
2022,czerwiec,Podstawowa opieka zdrowotna,Rowerzysta ranny w niekolizyjnym wypadku komunikacyjnym (V18),143,Rowerzyści
2022,czerwiec,Podstawowa opieka zdrowotna,Rowerzysta ranny w innych i nieokreślonych wypadkach komunikacyjnych (V19),106,Rowerzyści
2022,czerwiec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z pieszym lub zwierzęciem (V10),13,Rowerzyści
2022,czerwiec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z innym rowerzystą (V11),7,Rowerzyści
2022,czerwiec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z dwu lub trzykołowym pojazdem mechanicznym (V12),<5,Rowerzyści
2022,czerwiec,Ambulatoryjna opieka specjalistyczna,"Rowerzysta ranny w kolizji z samochodem, samochodem dostawczym, półciężarowym i ciężarowym (V13)",28,Rowerzyści
2022,czerwiec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ciężkim środkiem transportu lub autobusem (V14),<5,Rowerzyści
2022,czerwiec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z innym pojazdem niemechanicznym (V16),<5,Rowerzyści
2022,czerwiec,Ambulatoryjna opieka specjalistyczna,Rowerzysta ranny w kolizji z ustalonym lub stałym przedmiotem (V17),27,Rowerzyści
